draw_number,draw_date,first_prize,second_prize,third_prize,starter_1,starter_2,starter_3,starter_4,starter_5,starter_6,starter_7,starter_8,starter_9,starter_10,consolation_1,consolation_2,consolation_3,consolation_4,consolation_5,consolation_6,consolation_7,consolation_8,consolation_9,consolation_10
5127,2024-02-04,8434,1538,5333,0106,1422,1632,4667,5210,6428,7142,8469,9151,9746,0946,1185,2599,3507,3939,6741,6808,7619,8167,9392
5128,2024-02-07,0238,1564,6606,0752,1088,1366,2153,2462,3706,4251,5844,7450,8607,0170,0291,1450,2233,4008,4149,4829,6704,8377,9601
5129,2024-02-10,7719,5731,1709,1072,1624,2056,3662,7555,7785,8604,9231,9404,9541,0112,1852,2769,2916,4564,5785,6685,7088,9595,9718
5130,2024-02-11,6438,3830,1422,2049,3175,5345,5366,6101,6874,6909,6956,8385,8491,0931,1240,2941,4572,5296,6366,7119,8517,8887,9890
5131,2024-02-14,4720,4097,7236,0491,0860,1164,2755,6042,7159,7507,7922,8728,9677,0445,0821,2315,4238,4744,5359,7046,7370,8248,9817
5132,2024-02-17,0075,2810,0010,0249,2117,2213,2506,2565,6330,7542,8194,9083,9884,0008,0457,1012,2547,3347,3970,4236,5750,8026,9114
5133,2024-02-18,3803,8161,3506,0566,1578,3516,4681,4935,4995,5048,5771,6512,9666,0826,1588,1628,1726,2605,4360,5630,7868,8581,9746
5134,2024-02-21,2990,2832,5268,0779,2919,3970,5549,5862,6367,7289,9446,9468,9573,0597,2149,2846,4268,4603,4922,5225,5754,7080,9965
5135,2024-02-24,5131,3448,9949,3408,3581,3617,4449,5078,5342,6372,7569,8235,8560,0183,1434,3071,3300,4183,5763,6183,6697,6977,7669
5136,2024-02-25,4026,0195,4517,2238,2859,4328,6682,6781,6998,7098,8385,9611,9749,1233,3404,3409,3959,5047,5444,6419,7069,7437,9659
5137,2024-02-28,7947,0008,0181,2630,2810,4293,5735,6997,7827,8103,9001,9485,9824,1714,1960,2267,2475,2838,3354,3613,5381,5439,8426
5138,2024-03-02,4120,5096,1017,0817,3311,4520,4563,4615,6191,7183,7242,8571,9765,0627,1927,3460,4577,5761,5890,6366,8371,8525,8696
5139,2024-03-03,2468,0152,1457,0345,0360,1178,3867,5835,6167,7045,7160,8791,8962,1419,1759,4047,4194,7114,9082,9605,9688,9839,9887
5140,2024-03-06,4719,5753,4288,1403,3656,3842,5578,5991,7418,8259,8912,8970,9165,1389,1698,2322,3817,4209,6638,6918,7331,7494,9736
5141,2024-03-09,2312,3527,1784,3026,3105,4486,5530,7019,8230,8401,9018,9068,9495,1177,1459,2010,3760,4068,6301,7019,7313,7537,7979
5142,2024-03-10,6663,4349,8559,0269,0555,1161,1579,3832,5703,6516,6636,7583,9204,0007,0594,3737,4010,7879,7980,8573,8699,8781,9342
5143,2024-03-13,3235,4946,2328,0471,0586,2163,2779,4685,5015,8599,9601,9752,9962,2446,5048,6059,6471,6801,7244,7485,7885,8580,9682
5144,2024-03-16,6899,6747,4174,0142,1277,3575,3587,4311,6821,6876,6921,8568,9482,0170,2334,3240,3404,3584,4500,8571,8791,8990,9834
5145,2024-03-17,2874,1553,8550,1760,1864,2700,4379,7019,7093,7180,8442,8572,9440,2000,2118,2868,3644,4548,6567,7566,8809,8838,9314
5146,2024-03-20,3191,0766,3667,0190,0888,1060,1293,3329,3696,4156,4381,5167,8118,0327,1597,3292,3445,4214,4216,7620,7633,9718,9866
5147,2024-03-23,8233,4397,1532,1553,1942,3559,4566,5166,5720,6557,6750,6961,8334,0276,0810,1105,1462,2046,2663,5943,7328,8280,9766
5148,2024-03-24,0154,2866,8468,1109,1715,2267,5366,5657,5847,6445,6949,7000,9483,0690,2166,2823,2898,4412,6181,7250,7352,8306,8451
5149,2024-03-27,1356,5061,6623,0086,1075,2738,4495,6024,7076,7426,7670,7837,8178,0099,0131,4466,5778,6655,6692,7555,8588,8670,9636
5150,2024-03-30,7275,4184,1099,0544,1373,1683,3457,4851,6426,6581,6937,8380,9669,0201,1900,2232,3923,4495,5744,6794,8055,8641,9949
5151,2024-03-31,3914,5622,3317,2090,3689,3708,4917,5315,6406,6804,7905,8702,8831,0739,1503,1973,2200,2342,3710,4846,5918,6822,9914
5152,2024-04-03,1755,4508,3542,1830,2209,2260,3315,4554,6220,6901,7684,8278,9206,0859,0912,3181,3288,3699,4235,4669,7985,8467,9800
